dod,female,kommun60,experiment,foddar,ett
0.0575621,1,380,1,56,886
0.0988671,0,380,1,57,971
0.062436,1,380,1,57,977
0.4615385,0,381,0,40,13
0,1,381,0,40,5
0.55,0,381,0,41,20
0.0555556,1,381,0,41,18
0.3611111,0,381,0,42,36
0,1,381,0,42,14
0.2941177,0,381,0,43,17
0.2857143,1,381,0,43,14
0.4242424,0,381,0,44,33
0.25,1,381,0,44,20
0.25,0,381,0,45,20
0.2272727,1,381,0,45,22
0.34,0,381,0,46,50
0.0930233,1,381,0,46,43
0.2272727,0,381,1,47,110
0.2155172,1,381,1,47,116
0.3931624,0,381,1,48,117
0.15,1,381,1,48,100
0.2307692,0,381,1,49,104
0.1553398,1,381,1,49,103
0.1960784,0,381,1,50,102
0.1898734,1,381,1,50,79
0.2258064,0,381,1,51,93
0.1020408,1,381,1,51,98
0.2021277,0,381,1,52,94
0.1309524,1,381,1,52,84
0.125,0,381,1,53,96
0.1058824,1,381,1,53,85
0.1460674,0,381,1,54,89
0.1818182,1,381,1,54,88
0.1612903,0,381,1,55,93
0.1188119,1,381,1,55,101
0.1359223,0,381,1,56,103
0.0408163,1,381,1,56,98
0.1262136,0,381,1,57,103
0.1290323,1,381,1,57,93
0,0,401,0,42,1
0,1,401,0,42,1
0,0,401,0,43,1
0,0,401,0,44,2
0.1428571,0,401,0,47,14
0.2,1,401,0,47,10
0.4090909,0,401,0,48,22
0.1176471,1,401,0,48,17
0.2,0,401,0,49,15
0,1,401,0,49,6
0.3333333,0,401,0,50,18
0.2,1,401,0,50,15
0.2727273,0,401,0,51,11
0.2222222,1,401,0,51,9
0.4166667,0,401,0,52,12
0.125,1,401,0,52,16
0,0,401,0,53,4
0.1333333,1,401,0,53,15
0.1,0,401,1,54,10
0,1,401,1,54,9
0.1333333,0,401,1,55,15
0.1538462,1,401,1,55,13
0.0769231,0,401,1,56,13
0,1,401,1,56,9
0.1111111,0,401,1,57,9
0,1,401,1,57,9
0.4,0,402,0,40,10
0.1666667,1,402,0,40,6
0,0,402,0,41,4
0,1,402,0,41,4
0,0,402,0,42,3
0,1,402,0,42,1
1,0,402,0,43,2
0,1,402,0,43,3
0,0,402,0,44,4
0,1,402,0,44,1
0,1,402,0,45,2
0,0,402,0,46,1
0.6666667,1,402,0,46,3
0.3673469,0,402,0,47,49
0.1470588,1,402,0,47,34
0.35,0,402,0,48,60
0.3,1,402,0,48,40
0.3225806,0,402,0,49,31
0.0540541,1,402,0,49,37
0.1666667,0,402,0,50,24
0.1590909,1,402,0,50,44
0.3157895,0,402,0,51,38
0.0967742,1,402,0,51,31
0.2222222,0,402,0,52,36
0.125,1,402,0,52,32
0.0714286,0,402,0,53,42
0.1428571,1,402,0,53,35
0.3,0,402,0,54,30
0.1052632,1,402,0,54,38
0.3157895,0,402,1,55,38
0.1875,1,402,1,55,32
0.1071429,0,402,1,56,28
0.0909091,1,402,1,56,22
0.0540541,0,402,1,57,37
0,1,402,1,57,27
0.2727273,0,403,0,40,22
0.25,1,403,0,40,24
0.48,0,403,0,41,25
